id,英文名,中文名,英文地址,纬度,经度,英文城市,中文城市,google纬度,google经度,高德纬度,高德经度,距离,距离分类,选择的纬度,选择的经度,选择的经纬度,原始经纬度
54,Haihua Hotel Hangzhou,杭州海华大酒店,"No. 298, Qing Chun Road",30.258673,120.160683,Hangzhou,杭州,120.1562107,30.26121563,120.1559961,30.26107025,0.514472953,1,120.1562107,30.26121563,"30.258673,120.160683","30.261215634547714,120.15621069624763"
66,Everbright Convention & Exhibition Centre International Hotel,光大会展中心国际大酒店,"66 Caobao Road, Xuhui district",31.167866,121.429146,Shanghai,上海,121.4247558,31.16963808,121.4246196,31.16957295,0.462364251,0.5,121.4247558,31.16963808,"31.167866,121.429146","31.169638083898924,121.42475579578512"
72740,Shanshui Hotel,山水大酒店,118Longpan Road,32.044678,118.80593,Nanjing,南京,,,118.8010219,32.04663318,0.511750427,1,118.8010219,32.04663318,"32.044678,118.80593","32.04663317963784,118.80102185668574"
175,Holiday Inn Wuhan Riverside,武汉晴川假日酒店 ,"No.88, Xima Chang Street, Hanyang District",30.557281,114.285927,Wuhan,武汉,114.2800607,30.55968172,114.2799678,30.55971083,0.622576469,1,114.2800607,30.55968172,"30.557281,114.285927","30.55968171885277,114.28006071036052"
201,Lu Song Yuan Hotel,侣松园宾馆,"22, Banchang Lane, Kuanjie, Dongcheng District",39.93475,116.406775,Beijing,北京,,,116.4000315,39.93350116,0.592853222,1,116.4000315,39.93350116,"39.93475,116.406775","39.93350115790802,116.40003147102777"
223,Novotel Peace Beijing Hotel,北京诺富特和平宾馆,3 Jin Yu Hu Tong Wang Fu Jing Street ,39.915993,116.415565,Beijing,北京,,,116.409275,39.91450937,0.562458205,1,116.409275,39.91450937,"39.915993,116.415565","39.91450936658976,116.40927496270814"
373,Grand Park Kunming Hotel,昆明君乐酒店,20 Hong Hua Qiao,25.044849,102.700464,Kunming,昆明,,,102.6990386,25.04760752,0.337733611,0.5,102.6990386,25.04760752,"25.044849,102.700464","25.04760751639365,102.69903857707213"
386,Hotel New Otani Chang Fu Gong,长富宫饭店,No. 26 Jianguomenwai Avenue,39.907578,116.437805,Beijing,北京,116.431155,39.90674794,116.4312944,39.90620618,0.576055558,1,116.431155,39.90674794,"39.907578,116.437805","39.9067479405,116.43115503063042"
449,Crowne Plaza Beijing Wangfujing,北京国际艺苑皇冠假日饭店,48 Wangfujing Avenue,39.918953,116.411217,Beijing,北京,116.4053799,39.91719534,116.4053148,39.9176553,0.524780607,1,116.4053148,39.9176553,"39.918953,116.411217","39.91765529666356,116.40531479795165"
496,Landison Plaza Hotel,杭州国大雷迪森广场酒店,No. 333 Ti Yu Chang Road,30.269411,120.162064,Hangzhou,杭州,120.1569881,30.27183611,120.1573331,30.27179475,0.526362381,1,120.1573331,30.27179475,"30.269411,120.162064","30.271794750214134,120.15733311981315"
697,Ningbo Nanyuan Hotel,宁波南苑饭店,2 Lingqiao Road,29.858715,121.547166,Ningbo,宁波,121.5423459,29.86156436,121.5470329,29.82278823,0.562726567,1,121.5423459,29.86156436,"29.858715,121.547166","29.861564360325282,121.54234589936043"
824,Gloria Plaza Hotel Suzhou,苏州凯莱大酒店,535 Gan Jiang East Road,31.308668,120.635134,Suzhou,苏州,120.6305934,31.31047681,120.6312175,31.31068586,0.434802685,0.5,120.6312175,31.31068586,"31.308668,120.635134","31.310685856260527,120.63121753121465"
840,City Hotel,城市酒店,5-7 South Shaanxi Rd.,31.222794,121.457016,Shanghai,上海,121.4523646,31.22458221,121.4527262,31.22467349,0.458790546,0.5,121.4527262,31.22467349,"31.222794,121.457016","31.224673488376535,121.45272619227718"
65321,Huashi Hotel,华师大厦酒店,No.69 Zhongshan Avenue West,23.136414,113.350582,Guangzhou,广州,113.3443614,23.13842788,113.3444722,23.13883853,0.675012396,1,113.3443614,23.13842788,"23.136414,113.350582","23.138427881435792,113.34436141622773"
1051,Jinling Mansion Nanjing,南京金陵大厦,No.48 Hanzhongmen Street,32.038355,118.759039,Nanjing,南京,118.7542455,32.04086437,118.7537534,32.04053113,0.531425559,1,118.7542455,32.04086437,"32.038355,118.759039","32.04086437133789,118.75424554610018"
1160,Radisson Blu Plaza Xing Guo Hotel Shanghai,丽笙上海兴国宾馆,78 Xing Guo road,31.210777,121.435234,Shanghai,上海,121.4299212,31.21177672,121.4320109,31.21200688,0.336044913,0.5,121.4320109,31.21200688,"31.210777,121.435234","31.212006876605415,121.43201093489216"
1297,Sheraton Chengdu Lido Hotel,成都天府丽都喜来登饭店,"No. 15, Section 1, Renmin Zhong Road",30.667376,104.063461,Chengdu,成都,104.063374,30.6673602,104.063943,30.6673394,0.008518993,0.5,104.063374,30.6673602,"30.667376,104.063461","30.667360198894645,104.06337401039852"
1402,Swissotel Beijing Hong Kong Macau Center Hotel,北京港澳中心瑞士酒店,2 Chao Yang Men Bei Da Jie,39.933121,116.436002,Beijing,北京,116.4294941,39.93144613,116.4295948,39.93139858,0.580104827,1,116.4295948,39.93139858,"39.933121,116.436002","39.93139857561024,116.42959482660395"
1446,The Dragon Hotel Hangzhou,杭州黄龙饭店,"No. 120, Shuguang Road",30.266814,120.143008,Hangzhou,杭州,120.1391649,30.26949854,120.1380921,30.26944886,0.474680165,0.5,120.1391649,30.26949854,"30.266814,120.143008","30.26949853540272,120.13916489894295"
1606,Hotel Nikko Dalian,大连日航饭店,"No 123, Chang Jiang Road, Zhongshan District",38.926662,121.642798,Dalian,大连,121.6368986,38.92562723,121.6378,38.92583978,0.442917562,0.5,121.6378,38.92583978,"38.926662,121.642798","38.92583978029936,121.6377999762754"
1689,Crowne Plaza Zhengzhou,河南中州皇冠假日酒店,115 Jinshui Road,34.762764,113.694321,Zhengzhou,郑州,113.6895591,34.76426179,113.6880644,34.7634312,0.46654335,0.5,113.6895591,34.76426179,"34.762764,113.694321","34.764261793533706,113.68955910698692"
1888,Shangri-La Hotel Shenzhen,深圳香格里拉大酒店,"East Side, Railway Station, Jianshe Road",22.533904,114.118433,Shenzhen,深圳,114.1128831,22.5362771,114.1132406,22.53628139,0.595496124,1,114.1132406,22.53628139,"22.533904,114.118433","22.53628138878697,114.11324062409857"
2004,Sunworld Hotel Wangfujing,北京天伦松鹤酒店,"88 Dengshikou, Dongcheng District ",39.918245,116.413386,Beijing,北京,116.4066857,39.91699992,116.407043,39.91676009,0.566812894,1,116.407043,39.91676009,"39.918245,116.413386","39.91676009311385,116.40704300882247"
2054,Kempinski Hotel Beijing Lufthansa Center,北京燕莎中心凯宾斯基饭店,No. 50 Liangmaqiao Road Chaoyang District,39.9501,116.465462,Beijing,北京,116.4567116,39.94801664,116.4583087,39.94784457,0.660610484,1,116.4583087,39.94784457,"39.9501,116.465462","39.947844569685024,116.45830868915318"
2084,Zhejiang International Hotel,浙江国际大酒店,"No. 221 Tiyuchang Road, Xiacheng Area",30.269119,120.169948,Hangzhou,杭州,120.1650782,30.27159821,120.1461871,30.28148494,0.543243824,1,120.1650782,30.27159821,"30.269119,120.169948","30.271598208021455,120.1650781803387"
2339,Cactus Resort Sanya by Gloria,凯莱仙人掌度假酒店,Yalong Bay National Resort District,18.236362,109.654069,Sanya,三亚,,,109.6505516,18.23759763,0.39635162,0.5,109.6505516,18.23759763,"18.236362,109.654069","18.23759763344826,109.65055160904134"
2485,Crowne Plaza Nanjing Hotels & Suites,南京金鹰皇冠假日酒店,"No.89, Hanzhong Road",32.041714,118.780602,Nanjing,南京,118.7755464,32.04270916,118.7750197,32.04324772,0.490087656,0.5,118.7755464,32.04270916,"32.041714,118.780602","32.04270915836711,118.77554638077036"
2616,Jinjiang Hotel East Building,四川锦江宾馆东楼,"No.80, Second Section South Renmin Road",30.648103,104.065739,Chengdu,成都,104.0629256,30.6504682,104.0827422,30.66585121,0.376133796,0.5,104.0629256,30.6504682,"30.648103,104.065739","30.650468201921,104.0629256283453"
2788,CITIC Hotel Beijing Airport,北京国都大饭店,"No.9 Xiao Tianzhu Road, Capital International Airport",40.049536,116.590453,Beijing,北京,,,116.5844257,40.04850098,0.52700909,1,116.5844257,40.04850098,"40.049536,116.590453","40.04850097871933,116.5844257066311"
3026,Oriental Garden Hotel,北京东方花园饭店,6 Dongzhimen Nan Street,39.938258,116.434881,Beijing,北京,116.4290019,39.93742447,116.4287375,39.93684911,0.510943852,1,116.4290019,39.93742447,"39.938258,116.434881","39.937424471802,116.4290019251589"
