id,英文名,中文名,英文地址,纬度,经度,英文城市,中文城市,google纬度,google经度,高德纬度,高德经度,距离,距离分类,选择的纬度,选择的经度,选择的经纬度,原始经纬度
969571,Colorful Mountain Boutique Inn,,"No 17 Shizi Rd Village, Heshun Town",25.02049,98.49097,Baoshan,宝山,,,131.3985731,46.56580862,3769.594309,5+,131.3985731,46.56580862,"25.02049,98.49097","46.565808621234524,131.39857305801667"
969435,Cloud Sea View Villa,,"DA41 Baiyi New Town Resort, Jinluan Rd,",24.51325,117.64717,Zhangzhou,漳州,,,117.6516094,24.5172615,0.632335244,1,117.6516094,24.5172615,"24.51325,117.64717","24.51726150287398,117.65160943407584"
969427,Sunshine Garden,,"No.30, 2nd Floor, Lane 129",31.21744,121.46432,Shanghai,上海,,,121.4511684,31.23206453,2.04923762,5,121.4511684,31.23206453,"31.21744,121.46432","31.23206453389856,121.45116835868811"
969321,Shenghui Hotel,,"202 Yingbin Road, Dashi Street",23.02033,113.33247,Guangzhou,广州,,,113.3611253,22.94482001,8.86342503,5+,113.3611253,22.94482001,"23.02033,113.33247","22.94482000586325,113.36112534723301"
969307,Junyue Hotel,,"No35-37 Xin Nan Ave, NanCun Town",23.01296,113.34134,Guangzhou,广州,,,113.3611253,22.94482001,7.81402983,5+,113.3611253,22.94482001,"23.01296,113.34134","22.94482000586325,113.36112534723301"
968805,Borrman Hotel Zhanjiang Dingsheng Palza,,No.98-1 Lvtang Road,21.27102,110.35916,Zhanjiang,湛江,110.3930697,21.21321606,110.3875432,21.21255281,7.112410884,5+,110.3875432,21.21255281,"21.27102,110.35916","21.212552812570557,110.3875431912921"
968488,Xiyu Hotel,,NO.111-3 Yingbin Road,23.03572,113.32893,Guangzhou,广州,113.3234655,23.03849533,113.3611253,22.94482001,0.638867645,1,113.3234655,23.03849533,"23.03572,113.32893","23.038495329864737,113.32346553721534"
968411,MAHALO Club,,"No.1 Xiyong Beach, Nan'ao St",22.46641,114.52902,Shenzhen,深圳,,,114.5061931,22.59261571,14.1716138,5+,114.5061931,22.59261571,"22.46641,114.52902","22.592615714501736,114.50619314592255"
968312,Behito Hotel Nancun,,"No.1010, Xingye Avenue, Nancun Town",23.00157,113.38188,Guangzhou,广州,,,113.3611253,22.94482001,6.635270168,5+,113.3611253,22.94482001,"23.00157,113.38188","22.94482000586325,113.36112534723301"
968264,Behito Hotel Weijing,,"No.32, Xingnan Avenue, Nancun Town,",23.12909,113.26438,Guangzhou,广州,,,113.2772252,23.13325936,1.394315509,5,113.2772252,23.13325936,"23.12909,113.26438","23.133259357549438,113.27722515216203"
968212,Behito Hotel Chimelong,,"No.33, Xingnan Avenue, Nancun Town",23.01213,113.34019,Guangzhou,广州,,,113.3611253,22.94482001,7.757104235,5+,113.3611253,22.94482001,"23.01213,113.34019","22.94482000586325,113.36112534723301"
968183,1659wenqudong Road Ouhai Wenzhou,,No.177 Changchun 6th Street,29.32941,120.09678,Jinhua,金华,120.0917277,29.33224394,120.3268657,29.30462973,0.582642296,1,120.0917277,29.33224394,"29.32941,120.09678","29.332243938176756,120.09172768226874"
967999,Mulan Guesthouse,,8-4 Villa,25.02764,102.68404,Kunming,昆明,102.6748886,24.96974128,102.7419779,25.04475329,6.146743436,5+,102.7419779,25.04475329,"25.02764,102.68404","25.04475328516245,102.74197785984877"
964452,OKKO Apartment,,Lu Cheng Qu Li Ming Gong Ye Qu 28 Hao,27.99437,120.69938,Wenzhou,温州,,,120.6547987,28.0080784,4.640744593,5,120.6547987,28.0080784,"27.99437,120.69938","28.00807839797365,120.65479869659592"
964449,City Convenient Hotel,,Dabei Road No.150,22.94338,113.3665,Guangzhou,广州,113.3610713,22.94591761,113.3611253,22.94482001,0.573852985,1,113.3611253,22.94482001,"22.94338,113.3665","22.94482000586325,113.36112534723301"
963381,Ihouse Executive Apartment Baiyun Branch,,"Rm 1205 Building B, No 318 Tonghe Rd",23.20854,113.33011,Guangzhou,广州,,,113.2772252,23.13325936,9.941279195,5+,113.2772252,23.13325936,"23.20854,113.33011","23.133259357549438,113.27722515216203"
962801,Yu Dao Kou Arcadia Prairie Resort,,"Ying Bin Road, Yu Dao Kou Tasture",40.95294,117.96275,Chengde,承德,,,117.9609244,40.95308447,0.154543674,0.5,117.9609244,40.95308447,"40.95294,117.96275","40.95308447150313,117.96092437216689"
962486,Ramada Encore Chongqing Yubei,,Building 1 Zijing Commercial,36.62534,103.90335,Baiyin,白银,,,104.1739161,36.54662343,25.740935,5+,104.1739161,36.54662343,"36.62534,103.90335","36.546623432248175,104.17391612661947"
961314,Sunhouse Designer Apartment,,"No.333, Liyuan Road",31.23038,121.4737,Shanghai,上海,121.4786474,31.21252016,121.4511684,31.23206453,2.035515637,5,121.4786474,31.21252016,"31.23038,121.4737","31.21252015911327,121.47864741032222"
959789,Yintaijiayuan No.3 Inn,,13-1-302 Yintaijiayuan,38.00528,114.45895,Shijiazhuang,石家庄,,,114.4528964,38.15147816,16.23637324,5+,114.4528964,38.15147816,"38.00528,114.45895","38.15147816380839,114.45289637248625"
958468,ibis Lanzhou Hi-Tech Dev Zone,ibis Lanzhou Hi-Tech Dev Zone,No.66 Yantan West Rd,36.05451,103.903,Lanzhou,兰州,,,103.9008672,36.05496252,0.198620914,0.5,103.9008672,36.05496252,"36.05451,103.903","36.05496251544918,103.90086718555035"
956814,Campanile Xi'an DaYanTa Hotel,Campanile Xi'an DaYanTa Hotel,"No.188, Cui Hua Road",34.2179,108.95653,Xi'an,西安,108.9515177,34.21945984,108.958272,34.21845801,0.172038206,0.5,108.958272,34.21845801,"34.2179,108.95653","34.21845800673222,108.95827195330696"
955045,New Beacon Airport International Hotel,New Beacon Airport International Hotel,"No. 6 Central City Times, Julong Ave",30.70363,114.28694,Wuhan,武汉,,,114.2131958,30.77311608,10.45070177,5+,114.2131958,30.77311608,"30.70363,114.28694","30.773116075893537,114.21319584177218"
953834,Courtyard by Marriott Shenzhen Bao'an,Courtyard by Marriott Shenzhen Bao'an,No. 46 Dongfang Rd Songgang,22.7636,113.85263,Shenzhen,深圳,113.8530042,22.7630125,113.8540718,22.57303123,0.075564657,0.5,113.8530042,22.7630125,"22.7636,113.85263","22.763012496746597,113.85300423059394"
953242,Wyndham Nankunshan,Wyndham Nankunshan,Yiyunsiji No. 1 Zenglong Road,23.5672,113.98745,Huizhou,惠州,,,113.9805856,23.5694001,0.741930364,1,113.9805856,23.5694001,"23.5672,113.98745","23.56940010431941,113.98058558704244"
952304,Westerly Poor Inn,成都凯美酒店,"1 floor, 2 new sunshine industry",30.64331,104.08928,Chengdu,成都,,,104.0873926,30.6455008,0.302856027,0.5,104.0873926,30.6455008,"30.64331,104.08928","30.64550079673376,104.0873926121245"
952299,Mercure Changsha South,Mercure Changsha South,No 258 East Xiangfu Road Yuhua,28.11406,112.99394,Changsha,长沙,,,112.9888288,28.14865535,3.866651983,5,112.9888288,28.14865535,"28.11406,112.99394","28.148655350341688,112.98882879522132"
951278,ibis Huaibei Nanli Road Hotel,ibis Huaibei Nanli Road Hotel,Decheng Steam Cloud,33.9394,116.789,Huaibei,淮北,,,116.7839384,33.94103398,0.501815854,1,116.7839384,33.94103398,"33.9394,116.789","33.9410339790728,116.78393839733015"
